SN,Movie,Worldwide,India Net,India Gross,Overseas,Budget,Verdict
344,Phir Hera Pheri,69.13,40.82,55.11,14.02,18,SuperHit
345,Jurassic World Rebirth,7260.95,40.54,122.95,4350,1,Hit
346,Matru Ki Bijlee Ka Mandola,62.56,40.5,54.68,7.88,43,Flop
347,Anjaana Anjaani,68.5,40.26,54.35,14.15,38,Average
348,Bhagam Bhag,67.83,40.25,54.47,13.36,32,Hit
349,Yaariyan,54.7,40.01,54.02,0.68,16,Hit
350,Shamshera,60.75,39.94,47.75,13,150,Disaster
351,Aarakshan,64.4,39.8,53.73,10.67,45,Flop
352,Love Aaj Kal,56.9,39.76,46.9,10,60,Flop
353,Antim: The Final Truth,58.5,39.57,46.8,11.7,35,None
354,Baby John,61,39.5,47.3,13.7,1,None
355,Ek Main Aur Ekk Tu,73.4,39.47,53.28,20.12,32,Average
356,Khel Khel Mein,57.05,39.34,47.05,10,1,None
357,Border,55.5,39.3,53.1,2.4,10,All Time Blockbuster
358,Bhoothnath Returns,58.32,39.15,52.99,5.33,32,Average
359,Tevar,56.6,39.07,52.74,3.86,45,Flop
360,Hum Saath-Saath Hain: We Stand United,80.58,39.03,65.2,15.38,17,Blockbuster
361,The Diplomat,51.46,38.97,45.96,5.5,1,None
362,Kal Ho Naa Ho,82.05,38.85,52.45,29.6,28,Hit
363,Khatta Meetha,62.8,38.67,52.2,10.6,35,Average
364,Blue,63.9,38.66,52.06,11.84,75,Flop
365,Cirkus,60.6,38.64,45.6,15,70,Flop
366,A Flying Jatt,56.15,38.57,52.07,4.08,45,Flop
367,Ta Ra Rum Pum,68.61,38.24,51.66,16.95,28,Above Average
368,Hasee Toh Phasee,63.4,37.36,51.9,11.5,25,Average
369,Main Hoon Na,70.4,37.3,50.36,20.04,25,Hit
370,MOM,178.54,37.28,51.8,126.74,35,Average
371,Namastey London,71.02,37.27,51.78,19.24,21,SuperHit
372,Shaadi Ke Side Effects,69.7,37.24,50.27,19.43,41,Flop
373,Coolie,517.07,37.23,337.37,179.7,1,None
374,Madgaon Express,46.9,36.81,43.4,3.5,1,None
375,Naam Shabana,55,36.78,48,7,25,Above Average
376,Tanu Weds Manu,53.6,36.62,49.44,4.16,20,Hit
377,Bachna Ae Haseeno,62,36.57,47,15,23,Hit
378,Phata Poster Nikla Hero,63.14,36.37,49.1,14.04,40,Flop
